Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Tempo Stabilność,Czas,Tempo
K,K20,1523.0,5.076666666666667,3115.0,5.306666666666667,4940.0,6.083333333333333,7204.0,7.546666666666667,0.1637333333333333,7730.0,6.107292407363515
K,K30,1665.0,5.55,3374.0,5.696666666666667,5273.0,6.33,7266.0,6.6433333333333335,0.0782666666666666,7730.0,6.107292407363515
K,K40,1734.0,5.78,3474.0,5.8,5362.0,6.293333333333334,7288.0,6.42,0.0482666666666667,7731.0,6.108082484000948
K,K20,1887.0,6.29,3701.0,6.046666666666667,5524.0,6.076666666666667,7351.0,6.09,-0.0113999999999997,7731.0,6.108082484000948
M,M30,1752.0,5.84,3497.0,5.816666666666666,5340.0,6.1433333333333335,7286.0,6.486666666666666,0.0453333333333334,7731.0,6.108082484000948
K,K30,1815.0,6.05,3500.0,5.616666666666666,5337.0,6.123333333333333,7290.0,6.510000000000001,0.0377333333333334,7731.0,6.108082484000948
M,M60,1701.0,5.67,3376.0,5.583333333333333,5257.0,6.27,7268.0,6.703333333333333,0.0757333333333334,7731.0,6.108082484000948
K,K20,1801.0,6.003333333333333,3543.0,5.806666666666667,5349.0,6.02,7278.0,6.430000000000001,0.0298666666666668,7732.0,6.108872560638383
K,K30,1817.0,6.056666666666667,3575.0,5.86,5415.0,6.133333333333334,7307.0,6.306666666666667,0.0204666666666668,7732.0,6.108872560638383
M,M30,1666.0,5.553333333333333,3396.0,5.766666666666667,5276.0,6.266666666666667,7268.0,6.64,0.0752000000000002,7733.0,6.109662637275816
M,M40,1805.0,6.016666666666667,3496.0,5.636666666666667,5304.0,6.026666666666667,7249.0,6.483333333333333,0.0358000000000003,7733.0,6.109662637275816
M,M30,1668.0,5.5600000000000005,3376.0,5.693333333333333,5275.0,6.33,7266.0,6.636666666666667,0.0773333333333333,7734.0,6.11045271391325
M,M50,1800.0,6.0,3537.0,5.79,5404.0,6.223333333333333,7330.0,6.42,0.0338666666666667,7734.0,6.11045271391325
M,M30,1723.0,5.743333333333334,3404.0,5.6033333333333335,5155.0,5.836666666666667,7237.0,6.94,0.0764666666666668,7734.0,6.11045271391325
K,K50,1810.0,6.033333333333333,3591.0,5.9366666666666665,5431.0,6.133333333333334,7321.0,6.3,0.0199333333333334,7735.0,6.111242790550684
M,M20,1620.0,5.4,3325.0,5.683333333333334,5235.0,6.366666666666666,7265.0,6.766666666666667,0.0956666666666667,7736.0,6.112032867188118
K,K40,1696.0,5.653333333333333,3477.0,5.9366666666666665,5360.0,6.276666666666667,7299.0,6.463333333333334,0.0554000000000002,7737.0,6.112822943825552
M,M30,1763.0,5.876666666666667,3510.0,5.823333333333333,5337.0,6.09,7266.0,6.430000000000001,0.0385333333333334,7737.0,6.112822943825552
K,K40,1840.0,6.133333333333334,3579.0,5.796666666666667,5435.0,6.1866666666666665,7312.0,6.256666666666666,0.0151999999999999,7738.0,6.113613020462986
K,K30,1793.0,5.976666666666668,3498.0,5.683333333333334,5346.0,6.16,7290.0,6.48,0.0397333333333334,7738.0,6.113613020462986
M,M30,1699.0,5.663333333333333,3368.0,5.5633333333333335,5162.0,5.98,7234.0,6.906666666666666,0.0829333333333334,7739.0,6.11440309710042
M,M30,1833.0,6.11,3632.0,5.996666666666667,5479.0,6.156666666666666,7336.0,6.19,0.0080000000000001,7740.0,6.115193173737853
M,M30,1840.0,6.133333333333334,3647.0,6.0233333333333325,5498.0,6.17,7322.0,6.08,-0.0002666666666664,7740.0,6.115193173737853
M,M50,1762.0,5.873333333333333,3518.0,5.8533333333333335,5385.0,6.223333333333333,7302.0,6.39,0.0384,7740.0,6.115193173737853
M,M40,1639.0,5.463333333333334,3304.0,5.55,5180.0,6.253333333333333,7284.0,7.013333333333334,0.1070666666666667,7740.0,6.115193173737853
K,K40,1795.0,5.983333333333333,3532.0,5.79,5410.0,6.260000000000001,7328.0,6.3933333333333335,0.034,7741.0,6.115983250375288
K,K40,1695.0,5.65,3492.0,5.989999999999999,5375.0,6.276666666666667,7304.0,6.430000000000001,0.0525333333333334,7741.0,6.115983250375288
M,M20,1698.0,5.66,3370.0,5.573333333333333,5194.0,6.08,7251.0,6.8566666666666665,0.0819333333333334,7741.0,6.115983250375288
K,K50,1675.0,5.583333333333333,3480.0,6.016666666666667,5371.0,6.303333333333333,7316.0,6.483333333333333,0.0597333333333335,7741.0,6.115983250375288
